City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Ulladulla,AU,65.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
247,Nagaur,IN,61.34,clear sky,27.2,73.7333,Ranvas Nagaur
249,Plettenberg Bay,ZA,70.18,clear sky,-34.0527,23.3716,Thanda Vista B&B
250,Caceres,ES,51.04,few clouds,39.522,-6.3748,Ahc Hoteles
253,Port Macquarie,AU,62.56,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
260,Kruisfontein,ZA,67.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
264,Bodmin,GB,50.45,scattered clouds,50.4715,-4.7243,Lanhydrock Hotel and Golf Club
266,Narasannapeta,IN,68.43,overcast clouds,18.4167,84.05,G.lingaraju home
272,Tortoli,IT,55.22,clear sky,39.9256,9.6572,Hotel La Bitta
280,Monzon,ES,56.26,broken clouds,41.9108,0.1941,Hotel Masmonzón
281,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
291,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,Antay Casino Hotel
297,Port Elizabeth,ZA,70.11,broken clouds,-33.918,25.5701,39 On Nile Guest House
299,Santa Lucia,ES,63.77,clear sky,27.9117,-15.5407,Las Tirajanas
303,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
304,Yarim,YE,56.48,broken clouds,14.298,44.3779,وليد المسوري ابو اسد
314,Chikwawa,MW,74.23,light rain,-16.0335,34.8009,Thawale Lodge
317,Manono,CD,70.68,overcast clouds,-7.3,27.4167,Hotel hewa bora
318,Luklukan,PH,74.84,broken clouds,14.3254,122.7124,Nipa Nipa Beach
322,Bukene,TZ,65.48,overcast clouds,-4.2333,32.8833,New Millenium Lodge
326,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
327,Arrifes,PT,61.05,few clouds,37.7667,-25.7,Hotel Ponta Delgada
329,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
335,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
336,Kainantu,PG,60.84,overcast clouds,-6.2887,145.8655,Sylvester buku
339,Ukiah,US,60.96,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
340,Carauari,BR,72.95,moderate rain,-4.8828,-66.8958,Hotel Fellip
341,Masvingo,ZW,65.17,broken clouds,-20.0637,30.8277,River Side Lodge
344,Guerrero Negro,MX,64.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
348,San Quintin,MX,62.01,clear sky,30.4833,-115.95,Don Eddie's Landing
350,Pasighat,IN,52.12,broken clouds,28.0667,95.3333,Siang Guest House
353,Duiwelskloof,ZA,67.26,light rain,-23.6934,30.14,Silvermist Guesthouse
355,Minab,IR,71.1,clear sky,27.1467,57.0801,Bam campground
356,Luena,AO,62.38,overcast clouds,-11.7833,19.9167,Hotel Kandamba
358,Kaabong,UG,70.97,overcast clouds,3.4836,34.1492,Rock Motel Ltd
360,Panuco,MX,53.78,overcast clouds,22.05,-98.1667,Hotel Plaza
363,Novelda,ES,57.43,overcast clouds,38.3848,-0.7677,Hotel Restaurante Palacios
364,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
366,Foggia,IT,52.0,scattered clouds,41.45,15.5333,B&B White
371,Capelinha,BR,71.56,overcast clouds,-17.6914,-42.5158,Marinho Plaza Hotel
372,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
374,Magway,MM,67.21,clear sky,20.15,94.9167,Htein Htein Thar 2
376,Lata,PT,55.81,clear sky,40.1629,-8.3327,Casa Maquia
391,Shafter,US,63.34,scattered clouds,35.5005,-119.2718,Mucci’s
393,Abnub,EG,55.62,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
396,Amuntai,ID,74.52,light rain,-2.4177,115.2494,Hotel Balqis
399,Saint George,US,50.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
411,Sur,OM,73.09,clear sky,22.5667,59.5289,Sur Plaza Hotel
414,Mercedes,AR,72.77,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
415,Hereford,GB,50.83,overcast clouds,52.0568,-2.7148,The Green Dragon Hotel
417,Codrington,AU,56.89,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
418,Guaxupe,BR,74.7,overcast clouds,-21.3053,-46.7128,Class Hotel Guaxupé
421,Surt,LY,63.1,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
424,Dicabisagan,PH,72.93,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
432,Talcahuano,CL,73.08,clear sky,-36.7167,-73.1167,departamento comodo
435,Beihai,CN,62.47,overcast clouds,21.4833,109.1,21 Degree Hostel
438,Kabanjahe,ID,63.36,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
440,Chinsali,ZM,62.44,light rain,-10.5414,32.0816,Chisakatu Guest House
445,Vlore,AL,53.96,overcast clouds,40.4667,19.4897,Martini
449,Ambanja,MG,73.09,light rain,-13.6833,48.45,Hotel Salama and Fast Food
454,Conselheiro Lafaiete,BR,72.97,moderate rain,-20.6603,-43.7861,Hotel Meri
459,Tomigusuku,JP,58.77,overcast clouds,26.185,127.675,Hotel Gran View Okinawa
463,Callaguip,PH,73.96,clear sky,18.0714,120.4867,Pangil Beach Resort
464,Cahir,IE,50.7,moderate rain,52.3769,-7.9217,Cahir House Hotel
471,Pathein,MM,71.92,clear sky,16.7833,94.7333,Pathein Hotel
472,Bilma,NE,65.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
476,Phayakkhaphum Phisai,TH,72.41,broken clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
477,Aguimes,ES,68.67,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
481,Puerto Del Rosario,ES,69.55,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
483,Port Lincoln,AU,65.86,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
484,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
490,Marsaxlokk,MT,58.08,clear sky,35.8419,14.5431,Water's Edge
492,Awbari,LY,58.26,clear sky,26.5921,12.7805,فندق أوباري
