City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rikitea,PF,-23.1203,-134.9692,78.62,73,53,12.82,broken clouds
80,Ponta Do Sol,PT,32.6667,-17.1,73.13,49,2,12.48,clear sky
81,Butaritari,KI,3.0707,172.7902,82.38,69,14,18.14,few clouds
82,Hermanus,ZA,-34.4187,19.2345,85.89,64,62,20.15,broken clouds
83,Camacha,PT,33.0833,-16.3333,66.52,77,20,20.71,few clouds
84,Bambanglipuro,ID,-7.95,110.2833,62.6,86,93,6.26,overcast clouds
85,Cayenne,GF,4.9333,-52.3333,86.04,81,75,5.99,broken clouds
86,Chifeng,CN,42.2683,118.9636,7.05,75,0,4.65,clear sky
87,Lavrentiya,RU,65.5833,-171.0,-18.72,94,29,8.79,scattered clouds
88,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,14.97,light intensity shower rain
89,Srednekolymsk,RU,67.45,153.6833,-39.89,100,47,3.94,scattered clouds
90,Matehuala,MX,23.65,-100.65,45.97,64,75,10.33,broken clouds
91,Portland,US,45.5234,-122.6762,46.56,94,75,1.01,broken clouds
92,Narsaq,GL,60.9167,-46.05,7.02,69,0,5.86,clear sky
93,Iqaluit,CA,63.7506,-68.5145,-24.07,62,75,0.0,broken clouds
94,Wankaner,IN,22.6167,70.9333,67.57,63,0,8.28,clear sky
95,Great Yarmouth,GB,52.6083,1.7305,49.41,77,100,26.93,overcast clouds
96,Hals,DK,56.9961,10.3081,40.96,90,100,21.12,light rain
97,Klaksvik,FO,62.2266,-6.589,36.52,92,97,43.96,overcast clouds
98,Margate,GB,51.3813,1.3862,49.03,74,89,10.0,overcast clouds
99,Kondol,RU,52.8189,45.058,14.02,97,96,6.33,overcast clouds
100,Esperance,AU,-33.8667,121.9,66.04,70,2,18.72,clear sky
101,Hachinohe,JP,40.5,141.5,23.83,78,12,7.34,few clouds
102,Saint-Philippe,RE,-21.3585,55.7679,83.79,85,100,20.85,light rain
103,Gornyy,RU,55.1153,83.9059,5.94,90,97,6.62,overcast clouds
104,Santa Rosa,PH,14.3122,121.1114,79.11,70,98,13.94,overcast clouds
105,Grand Gaube,MU,-20.0064,57.6608,80.38,80,100,10.0,overcast clouds
106,Puerto Ayora,EC,-0.7393,-90.3518,85.96,88,54,4.0,broken clouds
107,Catuday,PH,16.2923,119.8062,75.87,74,45,9.75,scattered clouds
108,Kodiak,US,57.79,-152.4072,31.51,86,0,4.61,clear sky
109,Cururupu,BR,-1.8283,-44.8683,83.8,65,99,4.56,moderate rain
110,Provideniya,RU,64.3833,-173.3,-5.75,86,3,11.77,clear sky
111,Boueni,YT,-12.9025,45.0761,84.18,77,67,13.2,broken clouds
112,Pochutla,MX,15.7432,-96.4661,85.82,34,0,6.76,clear sky
113,Mitsamiouli,KM,-11.3847,43.2844,82.69,83,40,9.22,scattered clouds
114,Xiongyue,CN,40.1774,122.1228,15.76,83,8,5.08,clear sky
115,Acapulco,MX,16.8634,-99.8901,82.22,65,0,6.91,clear sky
116,Carnarvon,AU,-24.8667,113.6333,80.67,83,24,5.75,few clouds
117,Porto-Vecchio,FR,41.591,9.2795,54.93,82,0,4.61,clear sky
118,Kongoussi,BF,13.3258,-1.5347,87.39,7,3,9.24,clear sky
119,North Myrtle Beach,US,33.816,-78.68,50.11,47,0,17.27,clear sky
120,Bluff,NZ,-46.6,168.3333,50.11,81,36,8.3,scattered clouds
121,Moba,CN,33.2288,105.0179,26.49,96,100,4.36,light snow
122,Morehead,US,37.2711,-87.1764,26.31,67,0,0.0,clear sky
123,Castro,BR,-24.7911,-50.0119,74.03,84,89,8.08,overcast clouds
124,Bardiyah,LY,31.7561,25.0865,57.7,60,0,8.01,clear sky
125,Salalah,OM,17.0151,54.0924,72.28,78,1,3.2,clear sky
126,Kodinsk,RU,58.6881,99.1844,20.21,94,100,8.39,light snow
127,Chokurdakh,RU,70.6333,147.9167,-32.15,100,100,1.86,overcast clouds
128,Rudnichnyy,RU,59.617,52.4703,15.78,96,100,6.76,overcast clouds
129,Kaili,ID,-3.4626,120.2147,68.79,93,92,2.75,overcast clouds
130,Yulara,AU,-25.2406,130.9889,67.84,52,0,5.75,clear sky
131,Mar Del Plata,AR,-38.0023,-57.5575,67.08,89,100,5.99,moderate rain
132,Husavik,IS,66.0449,-17.3389,13.91,96,99,15.1,snow
133,Pevek,RU,69.7008,170.3133,-28.16,99,20,3.09,few clouds
134,Trairi,BR,-3.2778,-39.2689,85.23,64,51,12.3,broken clouds
135,Ghatsila,IN,22.6,86.4833,60.71,41,0,2.95,clear sky
136,Vittoria,IT,36.9537,14.5332,55.92,94,75,6.91,broken clouds
137,Ouadda,CF,8.0777,22.4007,76.17,20,100,6.08,overcast clouds
138,Cockburn Town,TC,21.4612,-71.1419,78.76,57,40,18.41,scattered clouds
139,Hambantota,LK,6.1241,81.1185,76.17,78,4,16.93,clear sky
140,Itarema,BR,-2.9248,-39.9167,84.79,65,74,15.35,broken clouds
141,Dorsten,DE,51.6667,6.9667,45.18,73,98,15.01,overcast clouds
142,Amapa,BR,1.0,-52.0,79.23,92,93,3.87,heavy intensity rain
143,Faanui,PF,-16.4833,-151.75,80.78,70,12,18.57,few clouds
144,Geraldton,AU,-28.7667,114.6,72.01,88,75,8.05,broken clouds
145,Novyy Urgal,RU,51.0736,132.5642,-18.26,100,99,1.61,overcast clouds
146,Pisco,PE,-13.7,-76.2167,71.02,78,38,9.22,mist
147,East London,ZA,-33.0153,27.9116,67.14,94,75,9.22,light intensity drizzle
